"﻿NID","INDEX","PATH","TITLE"
4599,0,"tmp_photos/252_Photo1.jpg","The Yunnan Expressway reduced rural people's physical and psychological sense of remoteness."
4599,1,"tmp_photos/252_Photo4.jpg","Portrait of a young Chinese family in China during the Yunnan Road Environmental and Social Analysis."
4606,0,"tmp_photos/259_Photo1.jpg","The project objective was to provide the required infrastructure and improve the operational capacity of Siem Reap Airport to cater to the expected increase in tourists visiting the Angkor Wat historical sites."
4606,1,"tmp_photos/259_Photo2.jpg","The project objective was to provide the required infrastructure and improve the operational capacity of Siem Reap Airport to cater to the expected increase in tourists visiting the Angkor Wat historical sites."
4606,2,"tmp_photos/259_Photo3.jpg","The project objective was to provide the required infrastructure and improve the operational capacity of Siem Reap Airport to cater to the expected increase in tourists visiting the Angkor Wat historical sites."
4600,0,"tmp_photos/253_Photo1.jpg","Loan Signing Theun-Hinboun Hydropower Project."
4601,0,"tmp_photos/254_Photo1.jpg","Port users have benefited from the modern cargo-handling equipment with high capacity and the streamlined port operations that reduced the time required for loading/unloading of vessels."
4601,1,"tmp_photos/254_Photo2.jpg","Port users have benefited from the modern cargo-handling equipment with high capacity and the streamlined port operations that reduced the time required for loading/unloading of vessels."
4604,0,"tmp_photos/257_Photo1.jpg","Loan Signing Nam Leuk Hydropower & Financial Sector Program."
4605,0,"tmp_photos/258_Photo1.jpg","Serving one of the project's purposes, this is to improve rural accessibility and agricultural incomes."
4607,0,"tmp_photos/260_Photo1.jpg","Bavet Checkpoint: Moc Bai, Vietnam / Bavet, Cambodia on Route 1 to Phnom Penh"
4607,1,"tmp_photos/260_Photo2.jpg","Workers on Route 1, between Bavet and Phnom Penh"
4607,2,"tmp_photos/260_Photo3.jpg","Bavet Checkpoint: Moc Bai, Vietnam / Bavet, Cambodia on Route 1 to Phnom Penh"
4607,3,"tmp_photos/260_Photo4.jpg","Workers on Route 1, between Bavet and Phnom Penh"
4607,4,"tmp_photos/260_Photo5.jpg","Bavet Checkpoint: Moc Bai, Vietnam / Bavet, Cambodia on Route 1 to Phnom Penh"
4607,5,"tmp_photos/260_Photo6.jpg","Bavet Checkpoint: Moc Bai, Vietnam / Bavet, Cambodia on Route 1 to Phnom Penh"
4607,6,"tmp_photos/260_Photo7.jpg","Bavet Checkpoint: Moc Bai, Vietnam / Bavet, Cambodia on Route 1 to Phnom Penh"
4607,7,"tmp_photos/260_Photo8.jpg","Bavet Checkpoint: Moc Bai, Vietnam / Bavet, Cambodia on Route 1 to Phnom Penh"
4607,8,"tmp_photos/260_Photo9.jpg","Bavet Checkpoint: Moc Bai, Vietnam / Bavet, Cambodia on Route 1 to Phnom Penh"
4608,0,"tmp_photos/261_Photo1.jpg","Vehicles in the improved Ho Chi Minh City Highway."
4610,0,"tmp_photos/263_Photo1.jpg","Border check point on the Lao side of the Mekong River. Laos and Thailand are now linked by Friendship Bridge II completed in 2007. Beginning of the East-West Corridor (Route 9 connecting Laos and Vietnam)."
4610,1,"tmp_photos/263_Photo2.jpg","Border check point on the Lao side of the Mekong River. Laos and Thailand are now linked by Friendship Bridge II completed in 2007. Beginning of the East-West Corridor (Route 9 connecting Laos and Vietnam)."
4611,0,"tmp_photos/264_Photo1.jpg","Road 9 is a transport corridor running from the border of Viet Nam-Lao People's Democratic Republic (Lao PDR) to Dong Ha, Viet Nam. 'Road 9' was known for its poor surface quality, old bridge structures, insufficiently marked patches of road and intersections. But that's all changed, along an 80 kilometer section of Road 9 - through an ADB-supported improvement project."
